-50.0	50.0	0.0	10.0
-50.0	0.0	-25.0	9385.0
-50.0	-25.0	-37.5	3525.625
-50.0	-37.5	-43.75	-7167.734375
-43.75	-37.5	-40.625	-1021.494140625
-40.625	-37.5	-39.0625	1440.511474609375
-40.625	-39.0625	-39.84375	258.0506896972656
-40.625	-39.84375	-40.234375	-369.4074058532715
-40.234375	-39.84375	-40.0390625	-52.622129917144775
-40.0390625	-39.84375	-39.94140625	103.47554296255112
-40.0390625	-39.94140625	-39.990234375	25.617371536791325
-40.0390625	-39.990234375	-40.0146484375	-13.454669280909002
-40.0146484375	-39.990234375	-40.00244140625	6.093273148289882
-40.0146484375	-40.00244140625	-40.008544921875	-3.6777168791013537
-40.008544921875	-40.00244140625	-40.0054931640625	1.2085233461330063
-40.008544921875	-40.0054931640625	-40.00701904296875	-1.2344104529402102
-40.00701904296875	-40.0054931640625	-40.006256103515625	-0.012896976353658829
-40.006256103515625	-40.0054931640625	-40.00587463378906	0.5978248289829935
-40.006256103515625	-40.00587463378906	-40.006065368652344	0.29246683735982515
-40.006256103515625	-40.006065368652344	-40.006160736083984	0.13978565826982958
-40.006256103515625	-40.006160736083984	-40.006208419799805	0.06344452290068148
-40.006256103515625	-40.006208419799805	-40.006232261657715	0.02527381875552237
-40.006256103515625	-40.006232261657715	-40.00624418258667	0.006188432569615543
-40.006256103515625	-40.00624418258667	-40.00625014305115	-0.0033542690507601947
-40.00625014305115	-40.00624418258667	-40.00624716281891	0.001417082479747478
-40.00625014305115	-40.00624716281891	-40.00624865293503	-9.685931072453968E-4
-40.00624865293503	-40.00624716281891	-40.00624790787697	2.2424472263082862E-4
-40.00624865293503	-40.00624790787697	-40.006248280406	-3.721741813933477E-4
-40.006248280406	-40.00624790787697	-40.00624809414148	-7.396472210530192E-5
-40.00624809414148	-40.00624790787697	-40.006248001009226	7.514000753872097E-5
-40.00624809414148	-40.006248001009226	-40.006248047575355	5.876427167095244E-7
-40.00624809414148	-40.006248047575355	-40.00624807085842	-3.668853605631739E-5
-40.00624807085842	-40.006248047575355	-40.00624805921689	-1.805045030778274E-5
-40.00624805921689	-40.006248047575355	-40.00624805339612	-8.731403795536608E-6
-40.00624805339612	-40.006248047575355	-40.00624805048574	-4.0718805394135416E-6
-40.00624805048574	-40.006248047575355	-40.006248049030546	-1.7421189113520086E-6
-40.006248049030546	-40.006248047575355	-40.00624804830295	-5.772380973212421E-7
-40.00624804830295	-40.006248047575355	-40.00624804793915	5.2023096941411495E-9
f(x) = 0	-40.00624804793915
