7	24	25
15	20	25
28	96	100
60	80	100
65	156	169
119	120	169
63	216	225
135	180	225
136	255	289
161	240	289
112	384	400
240	320	400
175	600	625
220	585	625
336	527	625
375	500	625
260	624	676
476	480	676
41	840	841
580	609	841
252	864	900
540	720	900
544	1020	1156
644	960	1156
343	1176	1225
735	980	1225
444	1295	1369
840	1081	1369
585	1404	1521
1071	1080	1521
448	1536	1600
960	1280	1600
369	1640	1681
720	1519	1681
567	1944	2025
1215	1620	2025
700	2400	2500
880	2340	2500
1344	2108	2500
1500	2000	2500
1224	2295	2601
1449	2160	2601
1040	2496	2704
1904	1920	2704
1241	2520	2809
1484	2385	2809
847	2904	3025
1815	2420	3025
164	3360	3364
2320	2436	3364
1008	3456	3600
2160	2880	3600
671	3660	3721
1320	3479	3721
468	4199	4225
580	4185	4225
615	4180	4225
1040	4095	4225
1183	4056	4225
1625	3900	4225
2016	3713	4225
2047	3696	4225
2145	3640	4225
2535	3380	4225
2652	3289	4225
2975	3000	4225
2176	4080	4624
2576	3840	4624
1372	4704	4900
2940	3920	4900
721	5280	5329
3504	4015	5329
1776	5180	5476
3360	4324	5476
1575	5400	5625
1980	5265	5625
3024	4743	5625
3375	4500	5625
2340	5616	6084
4284	4320	6084
1792	6144	6400
3840	5120	6400
1476	6560	6724
2880	6076	6724
380	7215	7225
1105	7140	7225
1479	7072	7225
2023	6936	7225
2184	6887	7225
2385	6820	7225
3060	6545	7225
3400	6375	7225
4025	6000	7225
4335	5780	7225
4633	5544	7225
5049	5168	7225
369	7560	7569
5220	5481	7569
3471	7120	7921
4879	6240	7921
2268	7776	8100
4860	6480	8100
3185	7644	8281
5831	5880	8281
2527	8664	9025
5415	7220	9025
959	9360	9409
6305	6984	9409
2800	9600	10000
3520	9360	10000
5376	8432	10000
6000	8000	10000
